"System","E","uE"
"586-96-9     ","1.9665146845124","1.15352487897377"
"594-70-7     ","-1.26964554493311","1.04857626777502"
"598-58-3     ","-0.2802709560229","2.07505235770706"
"611-38-1     ","-0.47877095602294","2.38069280273666"
"622-37-7     ","-0.520099502868106","1.52478254975391"
"622-42-4     ","-1.64938390057361","1.03883927652177"
"622-79-7     ","1.56931313575521","0.529729706736309"
"624-91-9     ","-5.7984557170172","1.92914238747611"
"625-58-1     ","-0.779367954110903","1.91752058334296"
"625-76-3     ","2.36898915869981","1.79895593267329"
"7119-94-0    ","-0.517622810707461","1.15002224047076"
"75-52-5      ","-0.682120133843199","0.725668065247408"
"81-20-9      ","-0.76385952198853","0.970651526705795"
"88381-75-3   ","5.89886323135759","3.27651619302256"
"88-75-5      ","-1.3429488910134","1.20505827962884"
"91633-36-2   ","-3.6546428298279","3.27675421191225"
"918-37-6     ","-10.8446396175908","42.8982284712089"
"98-95-3      ","0.496496290630999","0.923711302319166"
"99-09-2","-0.3953520650096","0.770105973364317"
"99-99-0      ","0.0403072466539198","0.785118336440292"
"103-29-7","-1.5070321797323","1.11063011994647"
"103-30-0","-1.2143294646272","1.13275356455618"
"108-38-3","-0.56316133843212","0.553202565609911"
"108-88-3","-0.4599026195029","0.39060531542596"
"109-66-0","0.532067934990401","1.10718674752952"
"109-67-1","-1.20980217973231","0.480776587908169"
"110-54-3","-2.741189082218","0.984824365154558"
"1119-65-9","0.154286424474201","0.97420100174213"
"115-07-1","-0.80239413001912","0.283129104910934"
"119-64-2","-1.18147233269599","0.787200811538799"
"120-12-7","2.4422544741874","1.7802357648093"
"13269-52-8","-1.029182791587","0.581249457226698"
"135-01-3","-0.84636185468451","1.00042376926515"
"135-98-8","0.14205019120459","0.77250108349059"
"141-93-5","0.0808760994263906","0.420847604711082"
"14255-23-3","0.344928279158701","1.13246113595125"
"142-82-5","0.759002753346103","1.63010084777274"
"14596-92-0","-2.3764515678776","0.385219058888205"
"1574-40-9","0.409479923518205","0.485646162536677"
"1574-41-0","-4.9387355066922","0.716574000953371"
"16668-67-0","5.668857839388","0.657075606744469"
"187-78-0","-6.1112362141491","3.0326777828484"
"191-07-1","-15.7092939961759","14.3133700576242"
"195-19-7","-1.00076611854681","2.41857397621604"
"198-55-0","1.2098106500956","4.73994892336093"
"20237-34-7","-1.725700248566","0.584576550390285"
"208-96-8","0.968429751434002","1.34178940044139"
"215-58-7","-2.0444113384321","2.99330497894578"
"2175-90-8","0.933275927342294","2.71412573968862"
"2523-37-7","-3.1464210516252","2.64966047637889"
"259-79-0","2.60116311663479","9.00501073368931"
"2612-46-6","-1.0288533843212","0.697061343768283"
"27546-46-9","0.851149885277202","0.776756951197002"
"275-51-4","1.30232673040149","1.23024903619674"
"300-57-2","-0.219412504780099","0.662682852053015"
"3404-61-3","-0.2516312045889","1.06879957716545"
"3404-63-5","-0.174495181644401","0.764286628350081"
"3404-73-7","-1.1327102868069","1.17292668456076"
"4038-04-4","-2.6130286615679","0.966067867671762"
"4050-45-7","-0.9987965583174","0.620500228938986"
"463-82-1","-0.066763097514297","0.834734770576449"
"501-65-5","-4.60614158699811","1.02621084163123"
"503-17-3","0.5738189483748","0.732111093552652"
"50-32-8","-2.9991469407266","4.75102441020575"
"513-35-9","-1.37879804971319","0.19769742121914"
"5194-51-4","-0.996367609942601","0.754018930120452"
"536-74-3","-1.8378813001912","0.439130729549449"
"53-70-3","-0.913918546845096","2.98725863954807"
"558-37-2","-0.7177124474187","1.01489842138824"
"562-49-2","-0.114545831739996","0.881532104709509"
"563-45-1","-0.559608891013379","0.801484981560872"
"563-46-2","-0.93057133843212","0.464207215555093"
"563-78-0","-1.045899082218","0.703924378676926"
"567-79-3","-5.2722613384321","1.65629378733756"
"581-40-8","-1.2279416826004","0.968438150939848"
"5821-51-2","-23.703948833652","9.27061110896722"
"590-35-2","1.007417208413","1.25058658230608"
"591-76-4","0.2758314531549","1.49528187694032"
"591-93-5","-0.303130248565999","0.653111974336754"
"598-23-2","-0.558717590822205","0.589350988161825"
"6053-74-3","-2.4481351051625","3.5437626058082"
"620-14-4","-0.222470898661568","0.4383810733215"
