# Data from Fig. 5 in Proppe2021
"lgk_exp","lgk_MPE","u(95)_A","u(95)_B"
7.613841821876069,7.51219769858013,0.23089891502676174,0.1862815840096857
7.915927211697116,7.946796125548184,0.22741741862901502,0.17319072664071058
2.1702617153949575,2.2851579785285163,0.3919217054387001,0.5679174918965619
6.334453751150931,6.102529289800166,0.24762926897059448,0.2410692816770592
6.800717078282385,6.823588563017212,0.23672541080733545,0.20663973794237475
7.383815365980431,7.463107373577152,0.24154373743522908,0.22234715090966325
7.876217840591642,7.943211974348234,0.24494471290508588,0.23294613163739028
1.9459607035775686,1.9436914911693572,0.2078119022601881,0.06398404783780612
5.842609239610562,5.843043694357557,0.21241473457470994,0.10100241714965076
6.552668216112194,6.579705341363636,0.21177178643191652,0.0967439919007489
7.079181246047625,7.079670126298833,0.2108701765788925,0.09041885806901638
7.152288344383057,7.126682224070405,0.2105615790078525,0.08814339214724329
