"System","E","uE"
"2-Methoxytetrahydropyran ax  ","1.0004","0.419870508902849"
"Aminocyclohexane eq          ","0.229009999999999","0.295711906539534"
"N-Methylpiperidine eq        ","2.16869","0.265988128270247"
"4-Methylpiperidine eq        ","-0.233730000000001","0.286451892248401"
" n-Pentane","0.0715299999999957","0.251100848919737"
" 2-Methylbutane","-0.315519999999999","0.0835921277254692"
" Neopentane","-0.407389999999999","0.343431247513337"
" n-Hexane","0.465499999999999","0.333141678541975"
" 3-Methylpentane","-0.249520000000004","0.191682362825596"
" 2-Methylpentane","-0.234179999999995","0.188296049387708"
" 2,3-Dimethylbutane","-0.685120000000005","0.40338777205974"
" 2,2-Dimethylbutane","-0.975250000000003","0.386381372727202"
"1-Butene","-0.26436","0.100646208249007"
" cis-2-Butene","-0.34797","0.227070334011817"
" trans-2-Butene","-0.4033","0.199092230472628"
" Isobutene","-0.6937","0.114235612793493"
" 1-Butyne","-0.308979999999998","0.0736297812158115"
" 2-Butyne","-0.560510000000001","0.161438497177686"
" Cyclooctatetraene","-0.617670000000004","0.246389861787082"
" Dimethylamine","-0.47848","0.0750713383409884"
" Ethylamine","0.762739999999999","0.0766924229919404"
" Acetonitrile","0.46454","0.0771752114830487"
" Methyl isocyanide","-0.165089999999999","3.80552191532222"
" Propanol","0.422280000000001","0.102854340112224"
" Isopropanol","0.299059999999997","0.123730374968535"
" n-Butanol","0.53192","0.145219506650743"
" Isobutanol","0.137680000000003","0.275865200616345"
" 2-Butanol","0.246359999999996","0.231827107697817"
" tert-Butanol       ","0.443489999999997","0.221030345603247"
"Dimethyl ether","0.21875","0.0694926039209892"
"Ethanol","0.441189999999999","0.104305537774877"
"Methane","-0.52272","0.16000407362495"
"Ethane","-0.225060000000003","0.0804664785126169"
"Propane","-0.0794499999999978","0.0597870573451659"
"n-Butane","-0.0192399999999999","0.126333625523792"
"n-Pentane","0.0615299999999976","0.251100848919737"
"n-Hexane","0.4255","0.333141695051376"
"n-Heptane","0.702919999999999","0.432391590203295"
"n-Octane","0.903230000000001","0.537016123716893"
"n-Nonane","1.42505","0.643767965270755"
"n-Decane","1.53701","0.751911155249315"
"n-Undecane","1.61932","0.860885904853799"
"n-Dodecane","2.33137000000001","0.970434907087198"
"n-Tridecane","2.32428","1.08036216730558"
"n-Tetradecane","2.59660000000001","1.19056248917317"
"n-Pentadecane","2.36937999999999","1.30099503717485"
"n-Hexadecane","2.80162","1.41158236210697"
"2-Methylpropane","-0.11993","0.123075434182879"
"2-Methylbutane","-0.355519999999999","0.0835921277254692"
"2-Methylpentane","-0.214080000000003","0.188327349601146"
"2-Methylhexane","0.164840000000005","0.247734140623332"
"2-Methylheptane","0.422410000000006","0.336225817403952"
"2-Methylnonane","0.190740000000005","0.545581763057476"
"Singlet methylene (CH2), C2v, 1-A1","21.18639","5.06060575199123"
"Methane (CH4), Td","-0.632719999999999","0.160003997854704"
"Ammonia (NH3), C3v","0.124420000000001","0.0433015578642864"
"Water (H2O), C2v","0.520810000000004","0.0569932308867307"
"Acetylene (C2H2), D0h","-0.347020000000001","0.0644870861315074"
"Ethylene (H2C=CH2), D2h","-0.10507","0.107493001213297"
"Ethane (H3C-CH3), D3d","-0.294970000000003","0.0804620764366233"
"Hydrogen cyanide (HCN), C0v","0.870529999999999","0.0607046212629932"
"Carbon monoxide (CO), C0v","0.52327","0.0535631455350849"
"Formaldehyde (H2C=O), C2v","0.32873","0.0431703835886077"
"Methanol (CH3-OH), Cs","0.369990000000001","0.129267268654359"
"N2 molecule, D0h","0.212","0.0261817553093945"
"Hydrazine (H2N-NH2), C2","0.0391300000000001","0.119323652919325"
"Hydrogen peroxide (HO-OH), C2","0.103140000000003","0.0859271129617483"
"Carbon dioxide (CO2), D0h","0.0541400000000039","0.0453823042528172"
"N2O, Cs","-0.64076","0.0534955157739653"
"O3 (ozone), C2v","-4.51759","0.12362191078507"
"Propyne (C3H4), C3v","-0.131799999999998","0.0866758864388997"
"Allene (C3H4), D2d","0.489310000000003","0.146752570916723"
"Cyclopropene (C3H4), C2v","1.14746000000001","1.3468036598259"
"Propene (C3H6), Cs","-0.18279","0.126563593264846"
"Cyclopropane (C3H6), D3h","-0.386850000000001","0.116211687753411"
"Propane (C3H8), C2v","-0.0593199999999996","0.0597751591651798"
"Trans-1,3-butadiene (C4H6), C2","-0.44425","0.126616441181128"
"2-Butyne (C4H6), D3h, eclipsed","0.00900000000000034","0.163888451995401"
"Methylenecyclopropane (C4H6), C2v","2.01702","0.794605695119268"
"Bicyclo[1.1.0]butane (C4H6), C2v","-4.03898","2.04156183515474"
"Cyclobutene (C4H6), C2v","-2.40215","0.833537338045646"
"Cyclobutane (C4H8), D2d","0.25038","0.22373078145434"
"Isobutene (C4H8), C2v","-0.69367","0.114229572480815"
"Trans-butane (C4H10), C2h","0.00110000000000099","0.126335987240522"
"Isobutane (C4H10), C3v","-0.149880000000003","0.123071705425313"
"Spiropentane (C5H8), D2d","0.382399999999997","1.46567829020218"
"Benzene (C6H6), D6h","-0.53284","0.135259361843651"
"Methylamine (H3C-NH2), Cs","-0.38101","0.0592442002977728"
"Acetonitrile (CH3-CN), C3v","0.464559999999999","0.0771808734596438"
"Nitromethane (CH3-NO2), Cs","-0.471060000000001","0.131983656692804"
"Methylnitrite (CH3-O-N=O), NOCH trans, ONOC cis, Cs","-1.05454","1.76661276659301"
"Formic acid (HCOOH), HOCO cis, Cs","0.211399999999998","0.0284297267465231"
"Methyl formate (HCOOCH3), OCOC cis, Cs","0.870459999999994","0.0557879919410241"
"Acetamide (CH3CONH2), C1","-0.614080000000001","0.13411206380164"
"Aziridine (cyclic CH2-NH-CH2 ring), Cs","-0.000260000000000815","0.0862594746361311"
"Cyanogen (NCCN), D0h","-0.164079999999998","0.0495108568119659"
"Dimethylamine, (CH3)2NH, Cs","-0.47884","0.0750694437869045"
"Trans-ethylamine (CH3-CH2-NH2), Cs","0.762869999999999","0.0766901935179551"
"Ketene (H2C=C=O), C2v","1.25165","2.33766642232774"
"Oxirane (cyclic CH2-O-CH2), C2v","0.189070000000001","0.0474756133452444"
"Acetaldehyde (CH3CHO), Cs","-0.193330000000003","0.118044344849861"
"Glyoxal (O=CH-CH=O), trans, C2h","0.596899999999998","0.144135011273563"
"Ethanol (CH3CH2OH), trans, Cs","0.44117","0.104297807665398"
"Dimethyl ether (CH3-O-CH3), C2v","0.21819","0.0694965707957886"
"Acrylonitrile (H2C=CHCN), Cs","-1.3541","0.0640714728437339"
"Acetone (CH3-CO-CH3), C2v","0.327649999999998","0.214072498748978"
"Acetic acid (CH3COOH), single bonds trans, Cs","-0.178020000000004","0.0991246412316325"
"Isopropanol, (CH3)2CH-OH, gauche isomer, C1","0.603219999999993","0.152573677432504"
"Methyl ethyl ether (CH3-CH2-O-CH3), trans, Cs","0.726469999999999","0.116007368114108"
"Trimethyl amine, (CH3)3N, C3v","0.23494","0.0999805822282966"
"Furan (cyclic C4H4O), C2v","0.0584299999999995","0.0740471841581187"
"Pyrrole (planar cyclic C4H4NH), C2v","0.161669999999997","0.126425739677699"
"Pyridine (cyclic C5H5N), C2v","-0.0552799999999962","0.111659965773018"
"H2 molecule, D0h","2.85377","5.59806115973845"
"Methylallene","-0.560360000000003","0.222537800854243"
"Isoprene","-1.1457","0.150897277053731"
"Cyclopentane twist","0.611339999999998","0.191136843716878"
"n-Pentane","0.0714800000000011","0.251127626190122"
"Neopentane","-0.407320000000006","0.343430101976751"
"1,3-Cyclohexadiene","-0.305510000000002","0.107932898845224"
"1,4-Cyclohexadiene","-0.452500000000001","0.144054320676091"
"Cyclohexane chair","0.11562","0.338619005650923"
"n-Hexane","0.465519999999998","0.333151620989558"
"3-Methylpentane","-0.249070000000003","0.191684487910392"
"Toluene stag","0.0871899999999997","0.0978939070504042"
"n-Heptane","0.662840000000003","0.432381560607138"
"Cyclooctatetraene","-0.617670000000004","0.246340774661264"
"n-Octane","0.863260000000004","0.537029455758992"
"Naphthalene","0.000630000000001019","0.180467382587264"
"Azulene","-2.75709000000001","0.36523308647623"
"Z-Methylacetate","-0.344930000000005","0.129901148979869"
"tert-Butanol","0.443510000000003","0.221032293031577"
"Anilin","0.295090000000002","0.131280430568638"
"Phenol (planar)","-0.88599","0.129995933198752"
"Divinylether","-0.54609","0.204265812183712"
"Tetrahydrofuran","-0.0884100000000032","0.10568997741416"
"Cyclopentanone","0.996050000000004","0.0879705982931659"
"Benzoquinone","-1.67049","0.257799697230809"
