SnSe2	-0.43	-0.28	0.06	-0.48	0.03	SnO2	-1.97	-1.73	0.21	-1.89	0.05
SnS	-0.57	-0.34	0.11	-0.58	0.03	SnSe	-0.47	-0.27	0.10	-0.52	0.04
SrO2	-2.19	-2.32	0.23	-2.31	0.06	SrO	-3.07	-3.08	0.24	-3.05	0.04
SrS	-2.45	-2.44	0.19	-2.44	0.04	SrCl2	-2.86	-2.88	0.23	-2.81	0.05
SrBr2	-2.48	-2.38	0.11	-2.45	0.03	SrI2	-1.93	-1.92	0.10	-1.93	0.02
TaN	-1.30	-1.14	0.13	-1.25	0.05	TaSi2	-0.47	-0.36	0.17	-0.43	0.07
Ta2O5	-3.03	-2.99	0.23	-3.09	0.06	TaF5	-3.29	-3.56	0.23	-3.41	0.10
TaCl5	-1.48	-1.51	0.21	-1.51	0.06	TiS	-1.41	-1.44	0.10	-1.37	0.06
TiS2	-1.41	-1.41	0.12	-1.38	0.04	TiN	-1.58	-1.88	0.12	-1.75	0.03
Ti2O3	-3.15	-3.14	0.19	-3.07	0.03	TiAs	-0.78	-1.02	0.05	-0.69	0.03
TiO2	-3.26	-3.37	0.21	-3.32	0.05	TlI	-0.64	-0.70	0.10	-0.67	0.04
TlBr	-0.90	-0.95	0.11	-0.97	0.05	TlCl	-1.06	-1.16	0.20	-1.08	0.07
Tl2O	-0.62	-0.68	0.15	-0.61	0.08	TlF	-1.68	-1.80	0.21	-1.62	0.03
Tl2S	-0.34	-0.37	0.12	-0.32	0.05	VN	-1.13	-0.99	0.13	-1.00	0.08
V2O3	-2.53	-2.58	0.29	-2.62	0.11	V2O5	-2.29	-2.31	0.20	-2.35	0.06
VO2	-2.47	-2.48	0.23	-2.52	0.04	WBr6	-0.52	-0.41	0.07	-0.51	0.03
WO3	-2.04	-2.08	0.19	-2.05	0.02	YAs	-1.68	-1.75	0.08	-1.68	0.02
YCl3	-2.59	-2.63	0.22	-2.67	0.05	YF3	-4.45	-4.45	0.27	-4.36	0.04
ZnO	-1.81	-1.57	0.21	-1.75	0.04	ZnSe	-0.85	-0.76	0.12	-0.97	0.02
ZnTe	-0.61	-0.56	0.08	-0.64	0.01	ZnS	-1.07	-0.89	0.14	-1.10	0.03
ZnCl2	-1.43	-1.36	0.19	-1.44	0.05	ZnF2	-2.64	-2.50	0.25	-2.46	0.05
ZrO2	-3.80	-3.75	0.23	-3.79	0.05	ZrCl4	-2.03	-2.11	0.22	-2.08	0.03
ZrSi	-0.80	-0.93	0.11	-0.94	0.05	ZrN	-1.89	-1.84	0.13	-1.85	0.06
ZrS2	-1.96	-1.73	0.14	-1.79	0.06	ZrS2	-1.96	-1.73	0.14	-1.79	0.06				
